fid,OBJECTID,NAME,X,Y,latitude,longitude
1,1,LABRADOR NATURE RESERVE,24518.6209,27763.35226563,1.267,103.802
2,2,BUKIT TIMAH NATURE RESERVE,21965.93055,37350.60083183,1.354,103.779
3,3,UPPER SELETAR RESERVOIR PARK,25120.06739552,42569.94,1.401,103.807
4,4,UPPER PEIRCE RESERVOIR PARK,25612.60155,39421.77280258,1.373,103.812
5,5,THOMSON NATURE PARK,26744.7096,40510.91570301,1.383,103.822
6,6,WINDSOR NATURE PARK,26657.95868598,37655.255,1.357,103.821
7,7,CHESTNUT NATURE PARK,22003.77085,39873.19296936,1.377,103.779
8,8,RIFLE RANGE NATURE PARK,22518.06314676,36587.7231,1.347,103.784
9,9,LOWER PEIRCE RESERVOIR PARK,27241.14665,39026.32378691,1.369,103.826
10,10,ZHENGHUA NATURE PARK,21882.77725,38873.7628028,1.368,103.778
11,11,BUKIT BATOK TOWN PARK,19403.35015,37714.99902186,1.357,103.756
12,12,BUKIT BATOK NATURE PARK,20354.85999161,36902.7264,1.350,103.765
13,13,LABRADOR NATURE PARK,24670.0047974,27432.8125,1.264,103.803
14,14,SPRINGLEAF NATURE PARK,26551.0910397,42639.00155,1.402,103.820
15,15,CENTRAL CATCHMENT NATURE RESERVE,24917.20365,40304.17230415,1.381,103.806
16,16,PULAU SEKUDU,45218.59,42864.18453343,1.404,103.988
17,17,PULAU UNUM,52534.29195,46084.19040905,1.433,104.054
18,18,BETING BRONOK,51763.62135,46528.06667511,1.437,104.047
19,19,DAIRY FARM NATURE PARK,21349.04895,38299.237881,1.363,103.774
20,20,SUNGEI BULOH WETLAND RESERVE,15892.74848957,47377.6084,1.445,103.725
21,21,KRANJI COASTAL NATURE PARK,17048.68768669,47240.036,1.443,103.735
22,22,KRANJI RESERVOIR PARK B,17373.49115,46814.61878406,1.440,103.738
23,23,KRANJI MARSHES,16527.43239708,44548.74395,1.419,103.730
24,24,SUNGEI BULOH SOUTHERN EXTENSION,15366.47765,46442.93538156,1.436,103.720
25,25,KRANJI RESERVOIR PARK A,17942.19395,46655.65763939,1.438,103.743
26,26,BERLAYER CREEK,24864.52645,27803.61937351,1.268,103.805
27,27,PULAU UBIN AND CHEK JAWA,42700.11847633,43951.46205,1.414,103.965
28,28,RAILWAY CORRIDOR RIFLE RANGE CONNECTOR,21990.67415,35948.77963848,1.341,103.779
29,29,HINDHEDE NATURE PARK,21625.1695,36928.67810952,1.350,103.776
30,30,RAIL CORRIDOR,19124.13,42807.02829521,1.403,103.754
31,31,BUKIT CHERMIN BOARDWALK,25117.49073706,27534.75985,1.265,103.807
32,32,MACRITCHIE RESERVOIR PK,28329.72500548,36177.49219999,1.343,103.836
33,33,KALLANG LINEAR PARK,30490.2746,36951.31056514,1.350,103.856
34,34,OLD UPPER ALJUNIED ROAD,32663.19278409,35651.69194999,1.339,103.875
35,35,ARMENIAN STREET (FCP),29801.11835,30762.83008188,1.294,103.850
36,36,CONNAUGHT DRIVE,30221.5285,30251.14146354,1.290,103.853
37,37,CANNING RISE (FCP),29620.8402,30976.52791609,1.296,103.848
38,38,CAMP ROAD INTERIM PARK,26347.87977675,31644.55324999,1.302,103.818
39,39,CHANGI WEST BOARDWALK (CHANGI BC),43871.1893,41348.87537965,1.390,103.976
40,40,CHANGI PT FERRY TERMINAL,45137.52891201,41458.66639999,1.391,103.987
41,41,TANAH MERAH PG,40637.7345,34583.1186865,1.329,103.947
42,42,MARIAM WALK PG,43049.41305,37957.77662228,1.360,103.969
43,43,LOYANG VIEW PG,42725.525,38343.90277743,1.363,103.966
44,44,JLN LIMAU MANIS PG,40879.19391059,34108.17299999,1.325,103.949
45,45,JLN ANGIN LAUT PG,41678.18745,35484.87027455,1.337,103.956
46,46,MERA TERRACE PG,42488.434,36615.04005895,1.347,103.964
47,47,EASTWOOD PK PG,41827.25689781,33934.17599999,1.323,103.958
48,48,JLN CHEMPAKA KUNING PG,41003.73882619,34663.65199999,1.330,103.950
49,49,JLN PARI BURONG PG,40647.27565653,35113.98249999,1.334,103.947
50,50,JLN PARI DEDAP PG,40304.3935,35024.43278554,1.333,103.944
51,51,JLN PELATOK PG,42136.09885873,36475.68449999,1.346,103.960
52,52,MERAGI RD PG,42129.72155,36280.96990593,1.344,103.960
53,53,SUNBIRD CIRCLE PG,41902.4418625,35695.73899998,1.339,103.958
54,54,PESARI WALK PG,41428.25698694,34074.54399999,1.324,103.954
55,55,BEDOK RIA CRESCENT PG,41328.501,34404.90557695,1.327,103.953
56,56,HARVEY CRESCENT PG,41563.2,35869.11749906,1.341,103.955
57,57,MARIAM WAY PG,42791.8814228,38222.89899998,1.362,103.966
58,58,BEDOK TERRACE PG,40707.872787,34197.68654999,1.326,103.948
59,59,KEW DR PG,41180.735,33663.18085735,1.321,103.952
60,60,LIMAU GARDEN PG,41062.42689265,33859.17999999,1.322,103.951
61,61,LUCKY GARDENS PG,40025.7505,33505.83971683,1.319,103.941
62,62,SENNETT AVE PG,39458.63064357,33249.27999999,1.317,103.936
63,63,JLN LIMAU KASTURI PG,40583.61876493,34024.09604999,1.324,103.946
64,64,KEW AVE PG,40813.049,33764.5617968,1.322,103.948
65,65,KEW CRESCENT PG,40828.113,33494.8713763,1.319,103.949
66,66,LIMAU VILLAS PG,41042.69531455,34012.91449999,1.324,103.951
67,67,CHANGI HEIGHTS PG,43456.36706883,38322.28749999,1.363,103.972
68,68,TURNHOUSE PK,44210.1483,41314.49036638,1.390,103.979
69,69,SENNETT AVE OS,39798.5133648,33450.55899999,1.319,103.939
70,70,JLN LIMAU KASTURI OS,40565.6605,34081.64855316,1.324,103.946
71,71,JLN PELATOK OS,42193.612,36479.03199999,1.346,103.961
72,72,CHANGI EAST BOARDWALK (CHANGI FERRY TER),44789.10867633,41570.53569999,1.392,103.984
73,73,CHANGI POINT PROMENADE,45338.67207912,41347.91349999,1.390,103.989
74,74,CHANGI POINT WATERFRONT PK,45243.67546152,41373.04699998,1.390,103.988
75,75,EAST COAST PARK AREA A,32036.27530988,30714.97149999,1.294,103.870
76,76,EAST COAST PARK AREA B,35435.67524644,30982.43919999,1.296,103.900
77,77,EAST COAST PARK AREA C,36807.8223041,31411.93424999,1.300,103.912
78,78,EAST COAST PARK AREA D,38228.03164229,31845.69934999,1.304,103.925
79,79,EAST COAST PARK AREA E,39052.17378774,32152.12939999,1.307,103.933
80,80,EAST COAST PARK AREA F,39828.16015832,32420.62444999,1.309,103.940
81,81,EAST COAST PARK AREA G,41918.40263252,32877.27834999,1.314,103.958
82,82,EAST COAST PARK AREA H,42921.938961,33106.06444999,1.316,103.967
83,83,BEDOK TOWN PK,38077.66677433,35238.24194999,1.335,103.924
84,84,BEDOK RESERVOIR PK,38404.75895,36458.81876185,1.346,103.927
85,85,YARROW PARK,37813.96202216,33078.48539999,1.315,103.922
86,86,SIGLAP LINEAR PK (UPP EC RD-M PARADE),38582.3925,32620.85255149,1.311,103.928
87,87,TANJONG KATONG RD SOUTH PG,35123,31392.25603907,1.300,103.897
88,88,JLN BULOH PERINDU PG,37578.33455,32311.03969204,1.308,103.919
89,89,MEYER RD PG,34775.236,31214.70895942,1.299,103.894
90,90,EAST COAST TERRACE PK,38070.35,32585.00577511,1.311,103.924
91,91,TELOK KURAU PK,37010.8789,33072.01591485,1.315,103.914
92,92,ELITE TERRACE PK,38126.0605,33097.93805167,1.316,103.924
93,93,SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD),38471.3245,32963.15966257,1.314,103.927
94,94,GEYLANG EAST PK,34047.558,33780.39163409,1.322,103.888
95,95,GREENFIELD DR PG,37385.9924,32814.46774377,1.313,103.918
96,96,BANGSAWAN PK,38073.913,33718.12072995,1.321,103.924
97,97,AIDA PK,38528.9845,33516.01247374,1.319,103.928
98,98,JLN SENANG PG,37153.64069109,34581.43349999,1.329,103.916
99,99,OPERA ESTATE FOOTBALL FIELD,38142.71505,33595.78051571,1.320,103.924
100,100,CARPMAEL PARK,35304.30570473,32644.86729999,1.312,103.899
101,101,TAMAN KEMBANGAN PG,37023.7920131,34137.79804999,1.325,103.914
102,102,WARINGIN PK PG,37555.3585,33918.84529154,1.323,103.919
103,103,ARTHUR PK,34109.3605,31802.92035668,1.304,103.888
104,104,LORONG 40 GEYLANG PG,34237.9211573,32880.45049999,1.314,103.889
105,105,GUILLEMARD RD OS,34574.8955,32981.99606961,1.315,103.892
106,106,INTERIM PK AT TERANG BULAN AVE,37822.2675,33765.18672795,1.322,103.922
107,107,MT BATTEN RD/OLD AIRPORT RD OS,33563.313,32007.72928277,1.306,103.883
108,108,KATONG PK,33901.68875713,31059.66194999,1.297,103.886
109,109,MARINE PARADE RD PK,36314.55565423,31914.66949999,1.305,103.908
110,110,WILKINSON INTERIM PK,34009.12121064,31555.62624999,1.302,103.887
111,111,HAIG WALK (GEYLANG RD-DUNMAN RD),35503.40865,32093.88724526,1.307,103.901
112,112,JOO CHIAT TERRACE PK,35610.07805,32966.22175716,1.314,103.902
113,113,LORONG SARINA INTERIM PK,36097.90527441,33600.42114999,1.320,103.906
114,114,JLN ISMAIL PK,36073.0276886,33938.26049999,1.323,103.906
115,115,PASIR RIS PK,41227.028,40073.7401677,1.379,103.952
116,116,PASIR RIS TOWN PK,41253.0244,39300.26946728,1.372,103.952
117,117,SUN PLAZA PK,40255.2955473,37847.95154999,1.359,103.943
118,118,SG API API PK,40540.3764936,40095.79589998,1.379,103.946
119,119,ELIAS TERRACE PG,39993.00959074,39359.83349999,1.372,103.941
120,120,HORTPARK,24075.24914018,29059.49054999,1.279,103.798
121,121,PASIR PANJANG NURSERY,23609.84205,29337.23955703,1.282,103.794
122,122,NATIVE PLANT CENTRE,16221.42541347,44340.85769999,1.417,103.727
123,123,PEK KIO PARK,29769.123,33150.82611413,1.316,103.849
124,124,ANG MO KIO TOWN GARDEN EAST,29888.2559,39176.30243154,1.371,103.850
125,125,ANG MO KIO TOWN GARDEN WEST,29048.44293733,39611.79149999,1.375,103.843
126,126,BISHAN-ANG MO KIO PARK (POND GARDENS),28343.8775306,38583.15854999,1.365,103.836
127,127,BISHAN-ANG MO KIO PARK (RIVER PLAINS),29730.33535892,38064.98359999,1.361,103.849
128,128,CHUAN GREEN PG,31637.995,38060.47140647,1.360,103.866
129,129,ST. NICHOLAS VIEW PLAYGROUND,27940.622,39292.99858655,1.372,103.833
130,130,ELLINGTON SQUARE PLAYGROUND,28134.8565,39334.56019143,1.372,103.835
131,131,GELENGGANG PARK,27612.26392914,39497.50199998,1.373,103.830
132,132,LEBAN PARK,27551.92820872,39385.12499999,1.372,103.829
133,133,MAYFLOWER CRESCENT PG,28691.12743434,39415.28054999,1.373,103.840
134,134,SERENADE WALK PG,28138.1175,40210.1699424,1.380,103.835
