school_name,address,postal_code,mainlevel_code,longitude,latitude
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,PRIMARY,103.800040119743,1.4426347903311
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,SECONDARY,103.802398196596,1.44589068910993
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,PRIMARY,103.832942401086,1.43315271543517
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,SECONDARY,103.829718690077,1.43605975368804
AI TONG SCHOOL,100  Bright Hill Drive,579646,PRIMARY,103.833020333986,1.3605834338904
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,PRIMARY,103.824424680531,1.29133439161334
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,PRIMARY,103.887165375933,1.39036998654612
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,PRIMARY,103.841411716006,1.38419941907925
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,SECONDARY,103.851554107068,1.37434001701177
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,JUNIOR COLLEGE,103.845885968342,1.37839670972543
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,PRIMARY,103.839630858752,1.36932176584608
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,SECONDARY,103.842154973672,1.36733710171069
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,SECONDARY,103.941082513081,1.33058126205128
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,JUNIOR COLLEGE,103.785358436408,1.30304255193392
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,SECONDARY,103.835772689988,1.31961649151328
