name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,postal_code,longitude,latitude
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,32,0,289903,103.812833881556,1.32794886466998
Amoy Street Food Centre,"Telok Ayer Street, S(069111)",HC,Government,135,134,1,NIL,103.847820429405,1.28108464345095
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,32,0,467360,103.92918919889,1.32475054237912
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,32,62,169982,103.827353892228,1.28883089150258
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,66,0,208877,103.856888783497,1.30734410918998
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,84,95,588215,103.776007306701,1.33945242854685
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,36,0,557269,103.86652701738,1.36423252476886
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,39,63,149644,103.800432545798,1.30707478767354
Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,30,0,424768,103.901825408227,1.30941788760759
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,63,0,468960,103.935137935777,1.30690573552745
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,63,302,402002,103.89833997582,1.3171804402937
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,112,111,199583,103.863877368653,1.30314151533241
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,21,48,277678,103.795151188387,1.31139686696526
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,16,78,397972,103.884017699319,1.30734398370473
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,76,0,751316,103.820484203624,1.44646879141296
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,103,0,069184,103.844747227479,1.28033142727315
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,83,0,229495,103.839562766706,1.31189240495009
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,37,82,198783,103.863909336656,1.30563433652207
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,45,0,118543,103.791619964293,1.27569879325348
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,46,36,555945,103.866162163042,1.36273680777483
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,36,0,574419,103.829018145089,1.37231949296183
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,123,57,618499,103.721619258973,1.33468266452814
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,28,89,148813,103.797737980247,1.30054407507427
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,83,259,168898,103.832421566287,1.28468599168094
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,32,0,247792,103.830973358549,1.29231114800655
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,48,150006,103.808131274161,1.28688297261475
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,148,180270,103.854115779087,1.30110201573423
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,0,150120,103.804492637648,1.28630594274136
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,21,0,161001,103.839934168065,1.2882310152805
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,51,120,530105,103.890130407955,1.35408273910145
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,77,090011,103.818651524334,1.27736813225761
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,22,58,160112,103.82601329621,1.28000480135122
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,84,98,151115,103.821823256087,1.28550445567433
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,82,380117,103.88702414,1.32064636781982
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,108,310127,103.844733922883,1.33804625287728
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,99,521137,103.944629422828,1.34537347373749
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,66,140159,103.802903871889,1.29323624443735
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,64,130,460016,103.935539171613,1.32055221938711
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,HDB,57,57,0,150163,103.816939544137,1.28388120820457
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,60,380017,103.87162041674,1.31502841514731
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,HDB,230,72,158,270020,103.78823030662,1.31099663218896
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,HDB,70,70,0,462208,103.930570304559,1.32478236985627
Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,HDB,157,80,77,310210,103.85487256444,1.34021600857625
Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,HDB,196,82,114,460216,103.933217970746,1.32706274205746
Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,HDB,120,61,59,310022,103.857003709119,1.33538261333779
Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,HDB,111,10,101,564226,103.839152274224,1.36680096218071
Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,HDB,29,29,0,568226,103.840157741978,1.36717874094695
Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC,HDB,147,60,87,600254,103.73773841183,1.34348818520494
Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC,HDB,193,88,105,330029,103.863020922593,1.31921667890113
Blk 320 Shunfu Road,"Blk 320, Shunfu Road, S(570320)",MHC,HDB,82,31,51,570320,103.837031862103,1.35200745401591
Blk 341 Ang Mo Kio Ave 1,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC,HDB,118,32,86,560341,103.84806729788,1.36384516921846
Blk 347 Jurong East Ave 1,"Blk 347, Jurong East Ave 1, S(600347)",MHC,HDB,225,56,169,600347,103.731703838354,1.34541698312776
Blk 353 Clementi Ave 2,"Blk 353, Clementi Ave 2, S(120353)",MHC,HDB,77,18,59,120353,103.770919561136,1.31437917978956
Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC,HDB,53,24,29,090036,103.822028389533,1.27260703348585
Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC,HDB,80,28,52,601037,103.742748119105,1.32083109341424
