OBJECTID,NAME,X,Y
1,LABRADOR NATURE RESERVE,24518.6209,27763.35226563
2,BUKIT TIMAH NATURE RESERVE,21965.93055,37350.60083183
3,UPPER SELETAR RESERVOIR PARK,25120.06739552,42569.94
4,UPPER PEIRCE RESERVOIR PARK,25612.60155,39421.77280258
5,THOMSON NATURE PARK,26744.7096,40510.91570301
6,WINDSOR NATURE PARK,26657.95868598,37655.255
7,CHESTNUT NATURE PARK,22003.77085,39873.19296936
8,RIFLE RANGE NATURE PARK,22518.06314676,36587.7231
9,LOWER PEIRCE RESERVOIR PARK,27241.14665,39026.32378691
10,ZHENGHUA NATURE PARK,21882.77725,38873.7628028
11,BUKIT BATOK TOWN PARK,19403.35015,37714.99902186
12,BUKIT BATOK NATURE PARK,20354.85999161,36902.7264
13,LABRADOR NATURE PARK,24670.0047974,27432.8125
14,SPRINGLEAF NATURE PARK,26551.0910397,42639.00155
15,CENTRAL CATCHMENT NATURE RESERVE,24917.20365,40304.17230415
16,PULAU SEKUDU,45218.59,42864.18453343
17,PULAU UNUM,52534.29195,46084.19040905
18,BETING BRONOK,51763.62135,46528.06667511
19,DAIRY FARM NATURE PARK,21349.04895,38299.237881
20,SUNGEI BULOH WETLAND RESERVE,15892.74848957,47377.6084
21,KRANJI COASTAL NATURE PARK,17048.68768669,47240.036
22,KRANJI RESERVOIR PARK B,17373.49115,46814.61878406
23,KRANJI MARSHES,16527.43239708,44548.74395
24,SUNGEI BULOH SOUTHERN EXTENSION,15366.47765,46442.93538156
25,KRANJI RESERVOIR PARK A,17942.19395,46655.65763939
26,BERLAYER CREEK,24864.52645,27803.61937351
27,PULAU UBIN AND CHEK JAWA,42700.11847633,43951.46205
28,RAILWAY CORRIDOR RIFLE RANGE CONNECTOR,21990.67415,35948.77963848
29,HINDHEDE NATURE PARK,21625.1695,36928.67810952
30,RAIL CORRIDOR,19124.13,42807.02829521
31,BUKIT CHERMIN BOARDWALK,25117.49073706,27534.75985
32,MACRITCHIE RESERVOIR PK,28329.72500548,36177.49219999
33,KALLANG LINEAR PARK,30490.2746,36951.31056514
34,OLD UPPER ALJUNIED ROAD,32663.19278409,35651.69194999
35,ARMENIAN STREET (FCP),29801.11835,30762.83008188
36,CONNAUGHT DRIVE,30221.5285,30251.14146354
37,CANNING RISE (FCP),29620.8402,30976.52791609
38,CAMP ROAD INTERIM PARK,26347.87977675,31644.55324999
39,CHANGI WEST BOARDWALK (CHANGI BC),43871.1893,41348.87537965
40,CHANGI PT FERRY TERMINAL,45137.52891201,41458.66639999
41,TANAH MERAH PG,40637.7345,34583.1186865
42,MARIAM WALK PG,43049.41305,37957.77662228
43,LOYANG VIEW PG,42725.525,38343.90277743
44,JLN LIMAU MANIS PG,40879.19391059,34108.17299999
45,JLN ANGIN LAUT PG,41678.18745,35484.87027455
46,MERA TERRACE PG,42488.434,36615.04005895
47,EASTWOOD PK PG,41827.25689781,33934.17599999
48,JLN CHEMPAKA KUNING PG,41003.73882619,34663.65199999
49,JLN PARI BURONG PG,40647.27565653,35113.98249999
50,JLN PARI DEDAP PG,40304.3935,35024.43278554
51,JLN PELATOK PG,42136.09885873,36475.68449999
52,MERAGI RD PG,42129.72155,36280.96990593
53,SUNBIRD CIRCLE PG,41902.4418625,35695.73899998
54,PESARI WALK PG,41428.25698694,34074.54399999
55,BEDOK RIA CRESCENT PG,41328.501,34404.90557695
56,HARVEY CRESCENT PG,41563.2,35869.11749906
57,MARIAM WAY PG,42791.8814228,38222.89899998
58,BEDOK TERRACE PG,40707.872787,34197.68654999
59,KEW DR PG,41180.735,33663.18085735
60,LIMAU GARDEN PG,41062.42689265,33859.17999999
61,LUCKY GARDENS PG,40025.7505,33505.83971683
62,SENNETT AVE PG,39458.63064357,33249.27999999
63,JLN LIMAU KASTURI PG,40583.61876493,34024.09604999
64,KEW AVE PG,40813.049,33764.5617968
65,KEW CRESCENT PG,40828.113,33494.8713763
66,LIMAU VILLAS PG,41042.69531455,34012.91449999
67,CHANGI HEIGHTS PG,43456.36706883,38322.28749999
68,TURNHOUSE PK,44210.1483,41314.49036638
69,SENNETT AVE OS,39798.5133648,33450.55899999
70,JLN LIMAU KASTURI OS,40565.6605,34081.64855316
71,JLN PELATOK OS,42193.612,36479.03199999
72,CHANGI EAST BOARDWALK (CHANGI FERRY TER),44789.10867633,41570.53569999
73,CHANGI POINT PROMENADE,45338.67207912,41347.91349999
74,CHANGI POINT WATERFRONT PK,45243.67546152,41373.04699998
75,EAST COAST PARK AREA A,32036.27530988,30714.97149999
76,EAST COAST PARK AREA B,35435.67524644,30982.43919999
77,EAST COAST PARK AREA C,36807.8223041,31411.93424999
78,EAST COAST PARK AREA D,38228.03164229,31845.69934999
79,EAST COAST PARK AREA E,39052.17378774,32152.12939999
80,EAST COAST PARK AREA F,39828.16015832,32420.62444999
81,EAST COAST PARK AREA G,41918.40263252,32877.27834999
82,EAST COAST PARK AREA H,42921.938961,33106.06444999
83,BEDOK TOWN PK,38077.66677433,35238.24194999
84,BEDOK RESERVOIR PK,38404.75895,36458.81876185
85,YARROW PARK,37813.96202216,33078.48539999
86,SIGLAP LINEAR PK (UPP EC RD-M PARADE),38582.3925,32620.85255149
87,TANJONG KATONG RD SOUTH PG,35123,31392.25603907
88,JLN BULOH PERINDU PG,37578.33455,32311.03969204
89,MEYER RD PG,34775.236,31214.70895942
90,EAST COAST TERRACE PK,38070.35,32585.00577511
91,TELOK KURAU PK,37010.8789,33072.01591485
92,ELITE TERRACE PK,38126.0605,33097.93805167
93,SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD),38471.3245,32963.15966257
94,GEYLANG EAST PK,34047.558,33780.39163409
95,GREENFIELD DR PG,37385.9924,32814.46774377
96,BANGSAWAN PK,38073.913,33718.12072995
97,AIDA PK,38528.9845,33516.01247374
98,JLN SENANG PG,37153.64069109,34581.43349999
99,OPERA ESTATE FOOTBALL FIELD,38142.71505,33595.78051571
100,CARPMAEL PARK,35304.30570473,32644.86729999
101,TAMAN KEMBANGAN PG,37023.7920131,34137.79804999
102,WARINGIN PK PG,37555.3585,33918.84529154
103,ARTHUR PK,34109.3605,31802.92035668
104,LORONG 40 GEYLANG PG,34237.9211573,32880.45049999
105,GUILLEMARD RD OS,34574.8955,32981.99606961
106,INTERIM PK AT TERANG BULAN AVE,37822.2675,33765.18672795
107,MT BATTEN RD/OLD AIRPORT RD OS,33563.313,32007.72928277
108,KATONG PK,33901.68875713,31059.66194999
109,MARINE PARADE RD PK,36314.55565423,31914.66949999
110,WILKINSON INTERIM PK,34009.12121064,31555.62624999
111,HAIG WALK (GEYLANG RD-DUNMAN RD),35503.40865,32093.88724526
112,JOO CHIAT TERRACE PK,35610.07805,32966.22175716
113,LORONG SARINA INTERIM PK,36097.90527441,33600.42114999
114,JLN ISMAIL PK,36073.0276886,33938.26049999
115,PASIR RIS PK,41227.028,40073.7401677
116,PASIR RIS TOWN PK,41253.0244,39300.26946728
117,SUN PLAZA PK,40255.2955473,37847.95154999
118,SG API API PK,40540.3764936,40095.79589998
119,ELIAS TERRACE PG,39993.00959074,39359.83349999
120,HORTPARK,24075.24914018,29059.49054999
121,PASIR PANJANG NURSERY,23609.84205,29337.23955703
122,NATIVE PLANT CENTRE,16221.42541347,44340.85769999
123,PEK KIO PARK,29769.123,33150.82611413
124,ANG MO KIO TOWN GARDEN EAST,29888.2559,39176.30243154
125,ANG MO KIO TOWN GARDEN WEST,29048.44293733,39611.79149999
126,BISHAN-ANG MO KIO PARK (POND GARDENS),28343.8775306,38583.15854999
127,BISHAN-ANG MO KIO PARK (RIVER PLAINS),29730.33535892,38064.98359999
128,CHUAN GREEN PG,31637.995,38060.47140647
129,ST. NICHOLAS VIEW PLAYGROUND,27940.622,39292.99858655
130,ELLINGTON SQUARE PLAYGROUND,28134.8565,39334.56019143
131,GELENGGANG PARK,27612.26392914,39497.50199998
132,LEBAN PARK,27551.92820872,39385.12499999
133,MAYFLOWER CRESCENT PG,28691.12743434,39415.28054999
134,SERENADE WALK PG,28138.1175,40210.1699424
135,SHANGRI-LA PLAYGROUND,27896.88335,39226.00825614
136,SUNRISE CLOSE PG,30692.18705,40994.23851278
137,SUNRISE DR PG I,30676.565,41137.32132646
138,SUNRISE PLACE PG,30590.9375,40986.5948217
139,SUNRISE WAY PG,30599.83339829,41067.50199998
140,TEACHER`S ESTATE PG,27541.599,40439.19915379
141,THOMSON GREEN PG,27922.619,40074.29240059
142,THOMSON WALK PG,27907.30463909,39776.66754999
143,YIO CHU KANG GARDENS PG,28463.937,40294.21288733
144,SUNRISE TERRACE OS,30537.17566753,41130.87099999
145,CACTUS RD PG,30105.315,41336.72021843
146,SUNRISE DR PG II,30440.8655,41357.9939814
147,CHARTWELL DR PK,31400.198,37966.59263797
148,GARDEN VIEW PG,31600.273,38054.41140837
149,JLN RIANG PG,31792.36835652,36585.72749999
150,MEI HWAN CRESCENT PG,31163.345,37207.63128808
151,MEI HWAN DR PG,31355.8225,37272.1142256
152,TAI HWAN TERRACE PG,31007.10716349,37614.38549999
153,TAVISTOCK AVE PK,31565.631,39136.09497309
154,CHUAN WALK PG,31809.881,37700.22935746
155,COLCHESTER GROVE OS,31798.93345,37740.36928446
156,BINCHANG RISE PG,29138.4665,36754.99798433
157,THOMSON PK,28116.3369,37376.14446104
158,CLOVER WAY PG,29413.68514529,36921.24549999
159,FULTON AVE PG,28022.5298578,38240.43794999
